task,right_answer,acce
I want to change step to add coffee,1,0
I want to change step to add water 30g,2,0
I want to change step to the first swirl,3,0
I want to change step to wait,4,0
I want to change step to add water 240g,5,0
I want to change step to add water 200g,6,0
I want to change step to the second swirl,7,0
I want to change the second step,2,0
I want to go back last page,8,1
I want to change ratio,9,1
I want to open the link,10,1
I want to edit this recipe,11,1
I want to start the whole precedure,12,1
