task,right_answer,acce
I want to sort my closet by last added,12,0
I want to sort my closet by last added,13,1
I want to sort my closet by name ascend,14,0
I want to sort my closet by name ascend,15,1
I want to sort my closet by name decend,16,0
I want to sort my closet by name decend,17,1
I want to sort my closet by purchase date ascend,18,0
I want to sort my closet by purchase date ascend,19,1
I want to sort my closet by purchase date decend,20,0
I want to sort my closet by purchase date decend,21,1
I want to sort my closet by season not specified,22,0
I want to use category filter,23,0
I want to reset the sort,24,0
I want to close this page,25,0
