task,right_answer,acce
I want to change my first name "Hua" to "Json",1,0
I want to change my first name "Hua" to "Json",9,0
I want to change my last name "Li" to "Yu",2,0
I want to change my last name "Li" to "Yu",10,0
I want to change my birth date from "04.12.2007" to "01.12.1998",3,0
I want to change my birth date from "04.12.2007" to "01.12.1998",11,0
I want to set my gender to female,5,0
I want to set my gender to male,4,0
I want to go to navigate bar,8,0
I want to cancel my change,6,0
I want to save my change,7,0
