task,right_answer,acce
I want to back to last page,1,0
I want to turn on navigation,1,0
I want to input tracker name "Swimming",2,0
I want to input tracker name "Swimming",12,0
I want to add a longer description "Go shopping use my wife's card",3,0
I want to add a longer description "Go shopping use my wife's card",13,0
I want to switch on "This is a time or duration",4,0
I want to switch on "This is a time or duration",5,0
I want to folder advanced options,6,0
I want to turn on setting a default value,7,0
I want to turn on setting a default value,8,0
I want to change tabel from "label only" to "Value only",9,0
I want to change sort order from "Label ascending" to "Label decending",10,0
I want to create this activity,11,0
